iter	Passed	Remaining
785	10662	2903
786	10675	2889
787	10687	2875
788	10700	2861
789	10713	2847
790	10726	2834
791	10738	2820
792	10752	2806
793	10770	2794
794	10786	2781
795	10802	2768
796	10818	2755
797	10833	2742
798	10844	2728
799	10857	2714
800	10869	2700
801	10882	2686
802	10894	2672
803	10907	2659
804	10920	2645
805	10933	2631
806	10944	2617
807	10956	2603
808	10970	2589
809	10982	2576
810	10995	2562
811	11008	2548
812	11021	2535
813	11034	2521
814	11046	2507
815	11058	2493
816	11070	2479
817	11082	2465
818	11095	2452
819	11109	2438
820	11121	2424
821	11134	2411
822	11148	2397
823	11162	2384
824	11175	2370
825	11188	2356
826	11202	2343
827	11215	2329
828	11227	2315
829	11240	2302
830	11253	2288
831	11266	2274
832	11277	2261
833	11290	2247
834	11303	2233
835	11319	2220
836	11331	2206
837	11345	2193
838	11358	2179
839	11370	2165
840	11384	2152
841	11397	2138
842	11410	2125
843	11425	2111
844	11437	2098
845	11454	2085
846	11470	2071
847	11484	2058
848	11500	2045
849	11517	2032
850	11532	2019
851	11548	2006
852	11561	1992
853	11575	1979
854	11588	1965
855	11601	1951
856	11613	1937
857	11625	1923
858	11637	1910
859	11649	1896
860	11661	1882
861	11672	1868
862	11686	1855
863	11698	1841
864	11711	1827
865	11724	1814
866	11740	1800
867	11755	1787
868	11769	1774
869	11784	1760
870	11798	1747
871	11813	1734
872	11827	1720
873	11842	1707
874	11858	1694
875	11875	1680
876	11892	1667
877	11907	1654
878	11922	1641
879	11936	1627
880	11949	1614
881	11961	1600
882	11973	1586
883	11988	1573
884	12001	1559
885	12013	1545
886	12025	1531
887	12037	1518
888	12049	1504
889	12062	1490
890	12072	1476
891	12084	1463
892	12098	1449
893	12112	1436
894	12124	1422
895	12136	1408
896	12148	1395
897	12162	1381
898	12174	1367
899	12186	1354
900	12199	1340
901	12214	1327
902	12228	1313
903	12241	1300
904	12255	1286
905	12267	1272
906	12279	1259
907	12291	1245
908	12302	1231
909	12314	1217
910	12326	1204
911	12338	1190
912	12350	1176
913	12362	1163
914	12374	1149
915	12386	1135
916	12397	1122
917	12410	1108
918	12424	1095
919	12436	1081
920	12449	1067
921	12463	1054
922	12476	1040
923	12489	1027
924	12501	1013
925	12515	1000
926	12529	986
927	12542	973
928	12553	959
929	12566	945
930	12579	932
931	12595	918
932	12610	905
933	12625	892
934	12640	878
935	12655	865
936	12668	851
937	12681	838
938	12693	824
939	12705	811
940	12717	797
941	12730	783
942	12742	770
943	12754	756
944	12766	743
